tag,genre
'rune folk',folk
'russian dance',pop
'sad lo-fi',anime
'sad rap',pop
'scandipop',pop
'screamo',rock
'sea shanties',folk
'show tunes',hollywood
'singer-songwriter pop',genz/indie
'singer-songwriter',genz/indie
'sleep',misc
'social media pop',pop
'soft pop',pop
'soft rock',rock
'souldies',oldies
'soundtrack',hollywood
'speedrun',anime
'stomp and holler',pop
'string duo',orchestra
'stutter house',edm
'swedish pop',pop
'swedish singer-songwriter',genz/indie
'tavern',folk
'tech house',edm
'thai bl ost',kpop
'traditional country',country
'trance',edm
'trap latino',hiphop
'trap queen',edm
'tropical house',edm
'tulsa indie',genz/indie
'uk pop punk',pop punk
'uk pop',pop
'video game music',anime
'vinahouse',edm
'viral pop',pop
'vocaloid',jpop
children's music',oldies
